id_subsistema;id_estado;nom_modalidadeoperacao;nom_conjuntousina;nom_usina;id_ons;ceg;din_instante;val_ventoverificado;flg_dadoventoinvalido;val_geracaoestimada;val_geracaoverificada
NE;BA;Tipo II-C;Conj. Serra da Babilônia;Serra da Babilônia F;BAEB0F;EOL.CV.BA.040612-0.01;2025-05-01 00:30:00;14.811;0.0;19.757;10.08
NE;BA;Tipo II-C;Conj. Serra da Babilônia;Serra da Babilônia II;BAEB02;EOL.CV.BA.032462-0.01;2025-05-01 00:30:00;12.785;0.0;24.63;27.258
NE;BA;Tipo II-C;Conj. Serra da Babilônia;Serra da Babilônia IX;BAEB9;EOL.CV.BA.032465-5.01;2025-05-01 00:30:00;12.934;0.0;26.651;27.205
NE;BA;Tipo II-C;Conj. Serra da Babilônia;Serra da Babilônia VI;BAEB06;EOL.CV.BA.032466-3.01;2025-05-01 00:30:00;13.242;0.0;24.56;25.316
NE;BA;Tipo II-C;Conj. Serra da Babilônia;Serra da Babilônia VII;BAEB07;EOL.CV.BA.032467-1.01;2025-05-01 00:30:00;11.161;0.0;21.283;26.911
NE;BA;Tipo II-C;Conj. Serra da Babilônia;Serra da Babilônia VIII;BAEB08;EOL.CV.BA.032468-0.01;2025-05-01 00:30:00;10.859;0.0;21.526;25.415
NE;BA;Tipo II-C;Conj. Serra da Babilônia;Serra da Babilônia XI;BAEB11;EOL.CV.BA.032470-1.01;2025-05-01 00:30:00;13.158;0.0;26.467;26.879
NE;BA;Tipo II-C;Conj. Serra da Babilônia;Serra da Babilônia XII;BAEB12;EOL.CV.BA.032471-0.01;2025-05-01 00:30:00;13.564;0.0;26.411;25.122
NE;BA;Tipo II-C;Conj. Santa Eugênia;Serra da Mangabeira;BASM01;EOL.CV.BA.044878-8.01;2025-05-01 00:30:00;10.856;0.0;51.721;59.415
NE;BA;Tipo II-C;Conj. Serra do Assuruá;Serra do Assuruá 1;BASA01;EOL.CV.BA.049371-6.01;2025-05-01 00:30:00;8.296;0.0;23.717;22.807
