Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
SE;RJ;SAO FRANCISCO DE ITABAPOANA;AUTO POSTO TAT ED TRAVESSAO DE BARRA LTDA;04.154.458/0001-56;RODOVIA BARRA SAO FRANCISCO DO ITABAPOANA;S/N;;SÃO FRANCISCO;28230-000;DIESEL;01/07/2004;1,39;;R$ / litro;BRANCA
SE;RJ;SAO FRANCISCO DE ITABAPOANA;POSTO DE GASOLINA FRANCISCANO LTDA;36.178.127/0001-42;RODOVIA AFONSO CELSO;41;;CENTRO;28230-000;GASOLINA;01/07/2004;2,12;1,7687;R$ / litro;BRANCA
SE;RJ;SAO FRANCISCO DE ITABAPOANA;POSTO DE GASOLINA FRANCISCANO LTDA;36.178.127/0001-42;RODOVIA AFONSO CELSO;41;;CENTRO;28230-000;ETANOL;01/07/2004;0,96;0,9;R$ / litro;BRANCA
SE;RJ;SAO FRANCISCO DE ITABAPOANA;POSTO DE GASOLINA FRANCISCANO LTDA;36.178.127/0001-42;RODOVIA AFONSO CELSO;41;;CENTRO;28230-000;DIESEL;01/07/2004;1,39;1,16;R$ / litro;BRANCA
SE;RJ;SAO FRANCISCO DE ITABAPOANA;POSTO JOAO PESSOA LTDA;28.902.153/0001-43;ESTRADA RJ 92;SN;KM 60;IMBURÍ;28200-000;GASOLINA;01/07/2004;2,12;;R$ / litro;CBPI
SE;RJ;SAO FRANCISCO DE ITABAPOANA;POSTO JOAO PESSOA LTDA;28.902.153/0001-43;ESTRADA RJ 92;SN;KM 60;IMBURÍ;28200-000;ETANOL;01/07/2004;1,1;;R$ / litro;CBPI
SE;RJ;SAO FRANCISCO DE ITABAPOANA;POSTO JOAO PESSOA LTDA;28.902.153/0001-43;ESTRADA RJ 92;SN;KM 60;IMBURÍ;28200-000;DIESEL;01/07/2004;1,39;;R$ / litro;CBPI
SE;RJ;SAO FRANCISCO DE ITABAPOANA;POSTO JOAO PESSOA LTDA;28.902.153/0002-24;RUA PRINCIPAL;S/N;;PRAÇA JOÃO PESSOA;28200-000;GASOLINA;01/07/2004;2,12;;R$ / litro;IPIRANGA
SE;RJ;SAO FRANCISCO DE ITABAPOANA;POSTO JOAO PESSOA LTDA;28.902.153/0002-24;RUA PRINCIPAL;S/N;;PRAÇA JOÃO PESSOA;28200-000;ETANOL;01/07/2004;1,1;;R$ / litro;IPIRANGA
SE;RJ;SAO FRANCISCO DE ITABAPOANA;POSTO JOAO PESSOA LTDA;28.902.153/0002-24;RUA PRINCIPAL;S/N;;PRAÇA JOÃO PESSOA;28200-000;DIESEL;01/07/2004;1,39;;R$ / litro;IPIRANGA
SE;RJ;SAO FRANCISCO DE ITABAPOANA;VALDEMIRO C FILHO;31.905.631/0001-83;BATELAO DE BARRA;S/N;;TERCEIRO DISTRITO;28230-000;GASOLINA;01/07/2004;2,13;1,899;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
SE;RJ;SAO FRANCISCO DE ITABAPOANA;VALDEMIRO C FILHO;31.905.631/0001-83;BATELAO DE BARRA;S/N;;TERCEIRO DISTRITO;28230-000;ETANOL;01/07/2004;1,22;1,092;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
SE;RJ;SAO FRANCISCO DE ITABAPOANA;VALDEMIRO C FILHO;31.905.631/0001-83;BATELAO DE BARRA;S/N;;TERCEIRO DISTRITO;28230-000;DIESEL;01/07/2004;1,43;1,272;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
SE;SP;SAO PAULO;POSTO FRADIQUE LTDA;61.121.927/0001-74;RUA FRADIQUE COUTINHO;698;;PINHEIROS;05416-001;GASOLINA;01/07/2004;2,099;1,8012;R$ / litro;RAIZEN
SE;SP;SAO PAULO;POSTO FRADIQUE LTDA;61.121.927/0001-74;RUA FRADIQUE COUTINHO;698;;PINHEIROS;05416-001;ETANOL;01/07/2004;0,999;;R$ / litro;RAIZEN
SE;SP;SAO PAULO;POSTO FRADIQUE LTDA;61.121.927/0001-74;RUA FRADIQUE COUTINHO;698;;PINHEIROS;05416-001;DIESEL;01/07/2004;1,549;1,3185;R$ / litro;RAIZEN
